,spread,Mspread
2021-11-08 10:55:00,4054.5463081252165,-2.8120149435071653
2021-11-08 11:00:00,4060.067278341171,2.7089552724473833
2021-11-08 11:05:00,4055.148744107083,-2.2095789616405455
2021-11-08 11:10:00,4054.0162989828796,-3.3420240858440593
2021-11-08 11:15:00,4050.726958994116,-6.631364074607518
2021-11-08 11:20:00,4054.0465230594386,-3.3118000092849798
2021-11-08 11:25:00,4056.419984728469,-0.9383383402546315
2021-11-08 11:30:00,4053.9299154389396,-3.428407629784033
2021-11-08 13:05:00,4054.637395156466,-2.7209279122575936
2021-11-08 13:10:00,4054.5149412204823,-2.843381848241279
2021-11-08 13:15:00,4059.0260518988443,1.6677288301207227
2021-11-08 13:20:00,4059.6415376953446,2.2832146266209747
2021-11-08 13:25:00,4064.0996172769146,6.741294208190993
2021-11-08 13:30:00,4060.0696105457037,2.711287476980033
2021-11-08 13:35:00,4064.3500965160165,6.991773447292871
2021-11-08 13:40:00,4056.890775094692,-0.46754797403173143
2021-11-08 13:45:00,4055.751155708564,-1.6071673601595649
2021-11-08 13:50:00,4057.2291815435965,-0.12914152512712462
2021-11-08 13:55:00,4053.28131646308,-4.077006605643419
2021-11-08 14:00:00,4054.4087479469117,-2.949575121811904
2021-11-08 14:05:00,4055.601667561099,-1.7566555076246004
2021-11-08 14:10:00,4051.2909454247133,-6.067377644010321
2021-11-08 14:15:00,4052.3134946869886,-5.0448283817349875
2021-11-08 14:20:00,4050.4392736950376,-6.9190493736859935
2021-11-08 14:25:00,4047.9782462790663,-9.380076789657323
2021-11-08 14:30:00,4049.287329655109,-8.070993413614815
2021-11-08 14:35:00,4044.9120805607317,-12.446242507991883
2021-11-08 14:40:00,4045.222054069325,-12.136268999398453
2021-11-08 14:45:00,4041.662656880546,-15.69566618817771
2021-11-08 14:50:00,4040.8090453281434,-16.549277740580237
2021-11-08 14:55:00,4038.9080552747223,-18.45026779400132
2021-11-08 15:00:00,4038.8894157573254,-18.468907311398198
2021-11-09 09:35:00,4059.705417851237,2.3470947825135227
2021-11-09 09:40:00,4056.8405053501037,-0.5178177186198809
2021-11-09 09:45:00,4043.034305293664,-14.324017775059474
2021-11-09 09:50:00,4036.9660962753724,-20.392226793351256
2021-11-09 09:55:00,4042.380306473449,-14.978016595274767
2021-11-09 10:00:00,4030.346585780572,-27.011737288151835
2021-11-09 10:05:00,4032.219152923831,-25.139170144892432
2021-11-09 10:10:00,4023.8153117605525,-33.54301130817112
2021-11-09 10:15:00,4021.419063698091,-35.9392593706325
2021-11-09 10:20:00,4013.2804915137426,-44.077831554981
2021-11-09 10:25:00,4009.4400048569755,-47.9183182117481
2021-11-09 10:30:00,4012.7229775312453,-44.635345537478315
