,total_value,balance,market_value
2021-10-15 13:55:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:00:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:05:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:10:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:15:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:20:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:25:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:30:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:35:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:40:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:45:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:50:00,102058.84920000001,102058.84920000001,0
2021-10-15 14:55:00,102058.84920000001,102058.84920000001,0
2021-10-15 15:00:00,102058.84920000001,102058.84920000001,0
2021-10-18 09:35:00,102058.84920000001,102058.84920000001,0
2021-10-18 09:40:00,102058.84920000001,102058.84920000001,0
2021-10-18 09:45:00,102058.84920000001,102058.84920000001,0
2021-10-18 09:50:00,102058.84920000001,102058.84920000001,0
2021-10-18 09:55:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:00:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:05:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:10:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:15:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:20:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:25:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:30:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:35:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:40:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:45:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:50:00,102058.84920000001,102058.84920000001,0
2021-10-18 10:55:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:00:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:05:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:10:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:15:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:20:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:25:00,102058.84920000001,102058.84920000001,0
2021-10-18 11:30:00,102058.84920000001,102058.84920000001,0
2021-10-18 13:05:00,102058.84920000001,102058.84920000001,0
2021-10-18 13:10:00,102058.84920000001,102058.84920000001,0
2021-10-18 13:15:00,102039.73120000001,6449.7312000000165,95590.0
2021-10-18 13:20:00,102019.73120000001,6449.7312000000165,95570.0
2021-10-18 13:25:00,102079.73120000001,6449.7312000000165,95630.0
2021-10-18 13:30:00,102049.73120000001,6449.7312000000165,95600.0
2021-10-18 13:35:00,101999.73120000001,6449.7312000000165,95550.0
2021-10-18 13:40:00,102109.73120000001,6449.7312000000165,95660.0
2021-10-18 13:45:00,102109.73120000001,6449.7312000000165,95660.0
2021-10-18 13:50:00,102109.73120000001,6449.7312000000165,95660.0
2021-10-18 13:55:00,102069.73120000001,6449.7312000000165,95620.0
2021-10-18 14:00:00,102059.73120000001,6449.7312000000165,95610.0
2021-10-18 14:05:00,102049.73120000001,6449.7312000000165,95600.0
2021-10-18 14:10:00,102139.73120000001,6449.7312000000165,95690.0
2021-10-18 14:15:00,102179.73120000001,6449.7312000000165,95730.0
2021-10-18 14:20:00,102199.73120000001,6449.7312000000165,95750.0
2021-10-18 14:25:00,102149.73120000001,6449.7312000000165,95700.0
2021-10-18 14:30:00,102129.73120000001,6449.7312000000165,95680.0
2021-10-18 14:35:00,102179.73120000001,6449.7312000000165,95730.0
2021-10-18 14:40:00,102159.73120000001,6449.7312000000165,95710.0
2021-10-18 14:45:00,102169.73120000001,6449.7312000000165,95720.0
2021-10-18 14:50:00,102139.73120000001,6449.7312000000165,95690.0
2021-10-18 14:55:00,102259.73120000001,6449.7312000000165,95810.0
2021-10-18 15:00:00,102269.73120000001,6449.7312000000165,95820.0
2021-10-19 09:35:00,102469.73120000001,6449.7312000000165,96020.0
2021-10-19 09:40:00,102449.73120000001,6449.7312000000165,96000.0
2021-10-19 09:45:00,102464.51920000001,102464.51920000001,0
2021-10-19 09:50:00,102464.51920000001,102464.51920000001,0
2021-10-19 09:55:00,102464.51920000001,102464.51920000001,0
2021-10-19 10:00:00,102464.51920000001,102464.51920000001,0
2021-10-19 10:05:00,102464.51920000001,102464.51920000001,0
2021-10-19 10:10:00,102445.27920000002,6245.279200000012,96200.0
2021-10-19 10:15:00,102315.27920000002,6245.279200000012,96070.0
2021-10-19 10:20:00,102255.27920000002,6245.279200000012,96010.0
2021-10-19 10:25:00,101648.44720000002,101648.44720000002,0
2021-10-19 10:30:00,101648.44720000002,101648.44720000002,0
2021-10-19 10:35:00,101628.98720000003,4328.987200000025,97300.0
2021-10-19 10:40:00,101638.98720000003,4328.987200000025,97310.0
2021-10-19 10:45:00,101462.45520000003,101462.45520000003,0
2021-10-19 10:50:00,101462.45520000003,101462.45520000003,0
2021-10-19 10:55:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:00:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:05:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:10:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:15:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:20:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:25:00,101462.45520000003,101462.45520000003,0
2021-10-19 11:30:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:05:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:10:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:15:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:20:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:25:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:30:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:35:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:40:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:45:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:50:00,101462.45520000003,101462.45520000003,0
2021-10-19 13:55:00,101462.45520000003,101462.45520000003,0
2021-10-19 14:00:00,101443.07720000003,4553.077200000029,96890.0
2021-10-19 14:05:00,101393.07720000003,4553.077200000029,96840.0
2021-10-19 14:10:00,101483.07720000003,4553.077200000029,96930.0
2021-10-19 14:15:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:20:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:25:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:30:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:35:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:40:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:45:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:50:00,101236.55720000004,101236.55720000004,0
2021-10-19 14:55:00,101236.55720000004,101236.55720000004,0
2021-10-19 15:00:00,101236.55720000004,101236.55720000004,0
2021-10-20 09:35:00,101236.55720000004,101236.55720000004,0
2021-10-20 09:40:00,101236.55720000004,101236.55720000004,0
2021-10-20 09:45:00,101236.55720000004,101236.55720000004,0
2021-10-20 09:50:00,101236.55720000004,101236.55720000004,0
2021-10-20 09:55:00,101217.21520000004,4507.215200000042,96710.0
2021-10-20 10:00:00,101307.21520000004,4507.215200000042,96800.0
2021-10-20 10:05:00,101297.21520000004,4507.215200000042,96790.0
2021-10-20 10:10:00,101377.21520000004,4507.215200000042,96870.0
2021-10-20 10:15:00,101527.21520000004,4507.215200000042,97020.0
2021-10-20 10:20:00,101547.21520000004,4507.215200000042,97040.0
2021-10-20 10:25:00,101537.21520000004,4507.215200000042,97030.0
2021-10-20 10:30:00,101457.21520000004,4507.215200000042,96950.0
